24.1,250.39,697.56,57.28
99.2,255.94,80.34,69.46
111.3,255.09,71.63,66.20
109.0,257.81,73.07,66.70
101.4,256.80,68.67,61.65
92.1,260.22,64.84,59.60
124.1,257.55,64.11,57.76
107.1,260.22,65.01,58.07
92.2,257.55,64.77,58.33
107.2,261.11,65.06,58.60
106.7,258.44,65.25,59.38
108.9,261.11,64.02,58.12
108.5,258.44,64.17,57.93
105.7,261.11,65.97,59.79
93.4,258.44,63.88,58.31
124.8,261.11,63.80,58.08
91.3,258.44,65.44,59.20
94.8,261.53,62.90,56.98
108.8,258.86,63.95,57.46
107.9,261.53,64.52,57.82
123.5,258.88,64.44,57.30
90.0,261.55,66.42,59.71
106.8,258.88,65.15,59.27
108.5,261.55,64.12,57.54
89.5,258.88,66.64,57.91
54.0,261.55,147.59,123.86
102.4,258.88,77.51,60.51
106.4,261.55,65.35,58.32
110.4,258.88,63.11,57.67
92.0,261.55,64.89,58.63
106.7,258.89,65.22,58.34
109.0,261.56,63.92,57.66
90.5,258.89,66.05,60.82
107.9,261.56,64.52,57.90
123.5,258.91,64.47,58.96
93.8,261.59,63.70,58.09
123.8,258.92,64.29,57.76
92.6,261.59,64.47,58.35
93.3,259.17,63.89,57.99
124.7,261.84,63.78,58.05
104.2,259.17,66.83,60.85
91.8,261.84,65.08,59.83
106.2,259.17,65.60,59.09
123.1,261.84,64.73,58.60
93.5,259.17,63.84,58.58
108.2,261.84,64.44,58.81
108.6,259.17,64.05,57.70
110.1,261.84,63.18,56.57
92.5,259.17,64.51,58.03
108.8,261.84,64.06,58.65
108.1,259.17,64.40,58.07
106.3,261.84,65.47,57.81
103.3,259.17,77.13,69.87
105.0,261.84,66.39,59.74
107.6,259.17,64.66,57.94
108.9,261.84,63.88,57.43
94.3,259.17,63.34,57.51
122.2,261.84,65.20,59.15
92.4,259.17,64.58,57.98
106.6,261.84,65.42,58.60
92.5,259.17,64.55,57.27
118.4,261.84,67.30,58.07
89.4,259.17,66.77,58.62
104.6,261.84,66.63,57.42
106.1,259.17,65.62,57.98
108.4,261.84,64.20,58.58
93.6,259.17,63.80,57.69
108.8,261.84,64.02,58.52
108.3,259.17,64.26,58.13
110.1,261.84,63.13,57.43
90.6,259.17,65.83,59.90
108.5,261.84,64.17,58.52
104.8,259.17,66.53,61.25
109.3,261.84,63.65,57.96
107.7,259.17,64.67,58.60
124.7,261.84,63.91,58.44
92.5,259.17,64.52,58.34
124.7,261.84,63.86,58.63
107.3,259.17,64.87,58.64
94.0,261.84,63.49,58.22
93.0,259.17,64.22,57.54
109.0,261.84,63.97,58.84
123.4,259.17,64.50,58.15
93.5,261.84,63.98,58.67
107.2,259.17,65.04,59.45
108.9,261.84,63.92,57.22
106.6,259.17,65.28,58.58
108.2,261.84,64.29,57.76
107.5,259.17,64.81,58.57
105.9,261.84,65.86,59.79
106.0,259.17,65.75,59.53
105.8,261.84,65.91,59.82
106.4,259.17,65.49,58.94
90.2,261.84,66.29,60.10
122.5,259.17,64.97,58.60
106.6,261.84,65.40,59.15
91.2,259.17,65.44,59.04
108.3,261.84,64.34,57.79
118.3,259.17,67.35,60.78
110.6,261.84,63.00,57.32
107.3,259.17,64.93,59.36
92.8,261.86,64.29,58.35
122.0,259.19,65.17,59.37
109.3,261.86,63.71,57.98
105.7,259.19,65.97,60.72
108.5,261.86,64.12,58.46
91.0,259.19,65.62,59.37
106.0,261.86,65.78,59.42
108.7,259.19,64.05,56.91
108.0,261.86,64.54,59.24
94.1,259.19,63.38,57.67
109.5,261.88,63.53,57.90
122.4,259.20,64.96,59.01
93.7,261.88,63.72,58.04
105.8,259.20,65.90,60.56
110.4,261.88,63.03,57.42
104.7,259.20,66.49,59.89
109.9,261.88,63.36,57.41
107.0,259.20,65.14,59.65
109.7,261.88,63.38,57.25
107.9,259.20,64.46,58.55
93.5,261.89,63.77,57.96
107.8,259.22,64.61,58.44
123.1,261.89,64.75,59.62
92.1,259.22,64.81,57.96
106.9,261.89,65.23,58.89
95.4,259.22,62.54,56.78
124.5,261.91,63.81,56.44
89.0,259.23,67.06,58.29
104.8,261.91,66.41,57.92
91.0,259.23,76.60,68.32
117.0,261.91,76.70,71.20
110.6,259.23,72.06,66.25
106.0,261.91,65.77,60.57
93.0,259.23,64.19,58.36
106.6,261.91,65.41,58.92
117.8,259.23,67.51,61.33
97.1,261.91,71.76,66.10
107.3,259.23,64.99,59.74
107.9,261.91,64.57,58.79
107.0,259.23,65.18,59.86
92.2,261.91,64.75,58.84
124.4,259.23,64.04,58.65
92.9,261.91,64.28,57.91
122.7,259.48,64.93,59.21
92.7,262.16,64.27,58.35
