CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
357.2,831.80,61.20,40.98
306.1,831.80,68.14,45.12
354.4,831.80,61.78,41.02
325.4,831.80,67.28,40.77
334.6,831.80,68.44,43.32
319.1,831.80,68.48,45.40
337.6,831.80,67.82,43.08
330.2,831.80,69.29,50.34
331.1,831.80,72.27,56.33
295.2,830.86,108.17,97.83
214.2,831.80,181.86,168.89
251.8,830.86,194.35,182.22
295.0,831.80,66.94,59.79
349.2,831.80,51.24,44.44
351.0,831.80,53.65,43.31
331.3,831.81,66.03,42.80
352.5,831.81,65.03,41.48
317.1,831.81,78.59,55.29
371.6,831.81,58.86,47.92
315.9,831.81,69.33,48.03
360.7,831.81,63.49,48.01
329.6,831.81,66.42,47.94
356.6,831.81,67.02,47.68
350.4,831.81,65.24,43.55
358.1,831.81,61.11,40.36
320.5,831.81,71.55,43.60
349.2,831.81,65.64,47.67
324.2,831.81,67.58,46.65
336.4,831.81,65.08,47.51
340.1,831.81,67.37,48.00
325.9,831.81,63.16,41.11
350.2,831.81,68.17,47.45
337.8,831.81,64.76,40.59
327.5,831.81,66.83,44.52
360.7,831.81,63.54,41.30
329.8,831.81,69.53,46.71
359.4,831.81,66.50,43.22
325.7,831.81,67.22,47.34
366.4,831.81,65.24,43.39
306.8,831.81,68.10,48.52
343.6,831.81,63.77,40.99
341.2,831.81,70.01,46.63
336.7,831.81,65.07,46.18
335.2,831.81,68.28,48.44
343.9,831.81,63.70,42.82
301.9,831.81,89.08,69.10
378.8,831.81,55.23,47.36
385.5,831.81,59.39,49.77
351.4,831.81,62.23,45.96
341.8,831.81,66.96,47.88
331.7,831.81,66.10,46.01
328.9,831.81,66.61,46.01
343.5,831.81,66.62,46.84
323.8,831.81,70.81,50.01
373.3,831.81,64.03,47.17
318.0,831.81,65.63,46.93
352.4,831.81,64.94,45.71
337.3,831.81,73.87,51.31
360.7,831.81,63.45,47.93
335.3,831.81,80.32,63.19
348.2,831.81,60.11,49.27
355.0,831.81,56.06,46.43
348.1,831.81,74.36,51.21
348.9,831.81,68.58,50.92
359.8,831.81,60.89,50.87
348.7,831.81,58.97,47.36
341.7,831.81,64.03,41.60
342.1,831.81,66.90,43.55
338.9,831.81,64.64,43.85
340.6,831.81,67.19,45.35
338.9,831.81,67.60,44.84
320.3,831.81,68.36,47.57
361.4,831.81,68.92,47.50
355.3,831.81,64.39,45.63
355.0,831.81,61.75,43.91
339.9,831.81,73.29,48.38
347.2,831.81,65.88,48.18
347.0,831.81,71.77,51.08
360.9,831.81,60.67,47.94
341.1,831.81,67.09,50.45
344.5,831.81,63.59,44.00
352.7,831.81,67.73,48.07
358.9,831.81,66.60,47.12
352.8,831.81,67.69,48.64
344.4,831.81,66.50,48.47
346.8,831.81,68.81,51.22
364.7,831.81,62.82,47.47
338.0,831.81,70.20,49.11
329.5,831.81,84.73,67.33
355.7,831.81,61.58,51.43
359.1,831.83,58.14,46.66
356.2,831.83,61.53,48.55
362.9,831.83,65.89,52.75
342.4,831.83,61.06,45.69
344.6,831.83,68.66,48.51
348.1,831.83,62.91,44.86
355.7,831.83,66.99,47.10
344.2,831.83,75.26,51.57
349.8,831.83,59.65,47.41
325.2,831.83,85.76,66.83
352.1,831.83,56.57,45.19
365.0,831.84,54.53,46.08
351.9,831.84,67.83,46.56
337.1,831.84,73.82,50.87
370.8,831.84,64.50,47.34
334.7,831.84,68.46,51.21
368.2,831.84,56.65,45.51
326.6,831.84,76.21,51.15
338.4,831.84,70.70,59.07
349.3,831.84,62.77,50.09
352.5,831.84,62.19,47.23
339.7,831.84,85.15,66.48
367.1,831.84,54.20,46.90
360.6,831.84,55.09,44.77
322.3,831.84,64.79,44.42
344.2,831.84,66.48,45.10
319.7,831.84,65.41,42.59
324.2,831.84,67.56,43.94
338.3,831.84,64.76,41.44
333.7,831.84,68.60,45.05
330.5,831.84,66.29,44.32
321.6,831.84,80.54,53.14
375.9,831.84,60.97,48.79
345.2,831.84,63.51,47.23
328.4,831.84,69.75,47.55
349.0,831.84,62.67,49.11
339.1,831.84,64.49,47.47
354.7,831.84,67.32,46.10
356.9,831.84,61.34,42.73
317.5,831.84,78.52,55.80
373.2,831.84,61.35,44.58
315.0,831.86,82.19,61.83
371.5,831.86,53.58,48.18
350.0,831.86,65.37,44.36
335.0,831.86,68.41,52.73
355.3,831.86,67.35,49.88
373.5,831.86,55.97,43.82
316.3,831.86,68.45,43.34
353.1,831.86,64.80,45.91
316.0,831.86,66.17,44.83
320.7,831.86,68.13,46.42
330.9,831.86,84.21,66.39
238.4,831.86,100.42,42.68
312.9,831.86,50.75,42.89
343.4,831.86,51.99,45.55
367.0,831.86,51.39,43.86
337.4,831.86,58.96,43.56
344.1,831.86,63.71,39.84
317.9,831.86,62.64,39.87
323.6,831.86,76.93,45.36
334.3,831.86,65.59,48.38
318.7,831.86,62.48,43.04
334.6,831.86,62.27,42.11
347.0,831.86,68.82,44.70
335.4,831.86,68.35,42.51
325.7,831.86,70.39,47.51
354.1,831.86,67.51,47.22
342.5,830.92,63.90,49.03
345.5,831.86,66.32,45.74
331.7,831.86,72.02,51.69
348.3,831.86,60.03,43.75
352.9,831.86,56.30,39.62
321.9,831.86,77.32,50.65
356.2,831.86,67.11,48.70
327.9,831.86,60.64,38.29
339.5,831.86,64.51,42.94
315.4,831.86,75.88,50.44
362.8,831.86,63.17,43.83
340.4,831.86,64.36,42.33
343.8,831.86,66.56,43.80
322.2,831.86,68.01,44.16
363.2,831.86,62.97,42.51
337.7,831.91,67.77,44.05
338.8,831.91,64.70,40.91
350.6,831.91,62.02,39.01
302.7,831.91,65.76,39.56
316.9,831.91,72.05,45.97
350.1,831.91,62.56,41.71
306.5,831.91,68.18,43.30
341.1,831.91,64.20,41.88
312.7,831.91,76.40,50.97
348.6,831.91,68.61,48.60
346.3,831.91,63.30,47.95
347.3,831.91,60.20,42.49
325.4,831.91,64.26,39.34
318.3,831.91,65.71,40.56
330.1,831.91,75.39,49.52
356.1,831.91,61.51,42.00
342.4,831.91,72.69,49.03
335.8,831.91,56.32,41.01
336.8,831.91,73.87,42.77
347.8,831.91,63.03,42.89
326.5,831.91,70.23,48.93
348.8,831.91,62.85,41.95
337.4,831.91,70.92,47.10
237.5,830.97,159.76,137.66
195.2,831.91,158.59,147.79
262.9,830.97,117.67,111.98
295.1,831.91,94.64,83.08
349.4,831.91,59.88,50.51
358.9,831.91,52.72,43.08
343.3,831.91,57.98,51.71
365.3,831.91,51.65,45.45
357.8,831.91,55.52,46.43
377.2,831.91,52.64,43.72
326.4,831.91,67.05,44.90
360.7,831.91,66.29,46.66
333.5,831.91,68.62,47.21
314.0,831.91,76.22,52.83
380.3,831.91,57.57,48.29
349.6,830.97,74.05,51.98
359.6,831.91,58.13,45.69
339.9,831.91,73.17,49.10
343.3,831.91,72.45,52.57
341.6,831.91,58.22,51.57
354.8,831.91,58.32,48.14
332.5,830.97,83.87,58.61
186.1,831.91,171.63,154.10
286.3,831.92,83.49,72.51
349.6,831.92,56.94,49.72
367.3,831.92,54.06,47.81
361.4,831.92,52.24,45.68
327.5,831.92,79.11,71.49
357.3,831.92,52.80,46.36
375.0,831.92,55.65,43.55
359.9,831.92,52.50,42.23
366.1,831.92,54.27,45.81
332.3,831.92,68.84,48.11
357.5,831.92,66.80,49.77
366.4,831.92,62.50,43.19
338.7,831.92,67.58,45.65
337.8,831.92,67.80,46.77
354.6,831.92,64.54,46.49
354.6,831.92,67.42,44.63
330.3,831.92,69.38,49.53
356.5,831.92,64.24,46.80
354.2,831.92,67.38,47.94
350.5,831.94,71.01,49.88
360.2,831.95,69.15,53.97
365.4,831.94,51.61,39.08
315.1,831.94,72.58,45.34
344.6,831.94,66.37,45.83
337.6,831.94,67.78,49.01
367.8,831.94,67.71,47.75
331.1,831.94,68.45,50.52
353.2,831.94,59.17,47.16
369.1,831.94,64.71,47.44
353.3,831.94,67.67,46.25
318.9,831.94,84.35,63.61
360.9,831.94,57.76,49.24
365.3,831.94,51.63,44.57
352.3,831.94,64.96,43.16
352.0,831.94,70.80,48.33
342.7,831.94,72.19,49.25
321.5,831.94,80.55,65.44
346.9,831.94,57.40,48.81
378.6,831.94,60.41,49.08
328.3,831.94,69.52,47.59
351.3,831.94,65.12,50.97
349.8,831.94,68.25,51.83
374.1,831.94,61.14,47.78
354.6,831.94,61.78,46.11
355.4,831.94,72.79,48.07
337.9,831.94,67.77,49.38
323.3,831.94,83.30,68.25
373.9,831.94,58.59,51.26
370.1,831.94,58.49,45.49
343.4,831.94,63.72,49.50
356.0,831.94,58.73,44.55
330.3,831.94,60.16,37.89
314.4,831.94,72.81,43.49
327.5,831.94,63.84,43.12
325.3,831.94,67.29,44.14
346.6,831.94,66.06,42.40
318.9,831.94,65.52,43.56
348.5,831.94,65.72,41.00
310.9,831.94,70.41,45.61
339.6,831.94,64.57,43.57
323.0,831.94,70.98,47.38
351.6,831.94,65.13,44.73
315.9,831.94,72.42,50.43
348.7,831.94,54.11,39.34
325.4,831.95,73.37,44.80
323.4,831.95,64.54,44.33
320.8,831.02,74.46,54.71
344.1,831.95,57.85,44.90
320.6,831.95,74.36,50.39
361.9,831.95,60.52,42.51
296.7,831.95,100.79,78.60
358.2,831.95,55.55,45.05
377.9,831.95,49.92,43.86
358.7,831.95,58.16,42.99
338.9,831.95,70.49,42.94
329.4,831.95,63.47,43.53
335.2,831.95,71.27,48.97
321.6,831.95,65.06,43.00
320.5,831.95,93.35,76.36
331.7,831.95,57.03,49.82
379.7,831.95,57.57,46.01
341.6,831.95,58.05,46.81
358.0,831.95,61.10,43.21
316.0,831.95,65.28,41.48
331.1,831.95,72.25,46.42
343.5,831.95,66.70,42.96
333.3,831.95,62.62,39.90
338.8,831.95,70.50,50.36
344.9,831.95,60.62,44.37
343.9,831.95,63.58,40.40
327.7,831.95,75.96,48.91
348.8,831.95,62.82,41.49
333.1,831.95,68.71,43.15
361.7,831.95,63.36,42.24
330.0,831.95,72.45,48.96
365.4,831.95,59.86,40.54
330.3,831.95,72.45,47.63
355.9,831.95,61.54,42.60
331.2,831.95,63.07,40.46
321.6,831.95,61.90,39.64
324.7,831.95,76.66,50.57
353.6,831.95,61.99,41.42
337.7,831.95,70.85,43.64
331.6,831.95,66.08,42.75
339.6,831.95,64.41,41.68
336.3,831.95,62.17,43.47
324.5,831.95,73.64,48.65
330.8,831.95,57.10,41.55
323.1,831.95,64.36,38.47
337.8,831.95,73.64,43.84
325.9,831.95,70.23,47.51
348.7,831.95,65.70,46.20
342.4,831.95,72.67,55.42
370.9,831.95,59.04,41.52
336.3,831.95,65.01,42.29
345.8,831.95,69.07,47.67
331.2,831.95,66.20,45.96
353.9,831.95,67.57,47.46
347.6,831.95,60.06,42.64
330.3,831.95,72.35,47.75
349.6,831.95,65.53,47.14
334.0,831.95,68.54,46.42
356.3,831.95,61.48,41.78
325.8,831.95,70.24,48.24
350.2,831.95,68.31,48.56
340.7,831.95,64.35,45.59
331.1,831.95,69.19,49.60
353.6,831.97,67.55,49.84
344.2,831.97,66.55,48.98
369.2,831.97,61.93,47.38
336.9,831.97,64.98,41.37
345.2,831.97,66.37,42.91
337.9,831.97,67.72,47.54
346.4,831.97,63.24,41.59
336.2,831.97,68.04,43.23
337.6,831.97,67.79,48.01
344.3,831.97,66.55,46.68
338.7,831.97,64.65,46.11
328.6,831.97,72.78,50.79
367.8,831.97,64.85,47.68
321.8,831.97,67.99,49.06
370.6,831.97,67.12,48.28
352.3,831.97,67.82,51.05
352.5,831.97,62.04,48.59
330.9,831.97,60.07,42.63
342.6,831.97,69.62,42.79
312.5,831.97,70.19,50.13
358.1,831.97,58.37,42.62
316.9,831.97,69.08,43.75
348.7,831.97,71.43,48.95
358.4,831.97,61.06,44.96
340.4,831.97,67.17,45.40
335.7,831.97,68.18,47.03
342.6,831.97,69.82,48.95
355.3,831.97,64.45,46.93
342.1,831.97,66.90,49.01
349.0,831.97,68.50,49.81
381.3,831.97,62.57,46.92
338.0,831.97,67.72,48.67
359.6,831.97,69.30,49.37
335.0,831.97,62.42,46.14
339.9,831.97,64.40,45.53
253.9,831.03,137.61,112.32
181.5,831.97,126.46,111.31
260.0,831.97,91.98,82.16
234.7,831.03,148.82,142.64
338.9,831.97,70.58,60.39
363.1,831.97,60.37,47.67
341.5,831.97,61.24,50.50
369.4,831.97,56.58,46.38
361.5,831.97,60.49,44.50
365.5,831.97,59.88,48.36
344.8,831.97,63.13,48.92
357.2,831.97,66.91,50.54
371.6,831.97,61.54,48.47
348.9,831.97,65.54,49.17
349.4,831.97,65.54,46.72
348.2,831.97,65.73,44.80
315.5,831.97,72.68,48.39
363.4,831.97,60.32,46.16
340.4,831.97,67.28,46.68
355.2,831.97,67.19,47.36
342.6,831.97,66.76,46.70
325.5,831.97,82.60,58.57
339.4,831.97,58.70,44.59
356.2,831.97,61.47,49.43
363.6,831.97,62.86,47.43
329.8,831.97,66.35,49.11
357.1,831.97,64.15,45.75
352.8,831.97,67.69,47.18
355.4,831.97,67.30,47.79
337.6,831.97,70.87,48.04
356.2,831.97,67.13,48.88
350.4,831.97,65.41,47.83
365.9,831.97,62.58,46.91
336.8,831.97,70.92,49.58
340.9,831.97,61.34,45.67
352.8,831.97,64.88,44.23
346.0,831.97,66.23,45.02
322.8,831.97,74.10,45.30
351.8,831.97,65.05,46.89
361.0,831.97,60.68,44.57
348.3,831.98,71.45,46.74
325.7,831.98,73.42,55.92
376.9,831.98,55.34,45.96
333.2,831.98,65.68,45.59
335.8,831.98,65.29,44.45
355.4,831.98,78.50,55.34
345.8,831.98,54.56,44.44
357.6,831.98,66.78,43.88
330.3,831.98,78.48,55.68
342.7,831.98,66.73,55.60
373.0,831.98,61.34,46.22
338.0,831.98,64.86,46.16
352.2,831.98,65.09,46.74
342.0,831.98,69.96,49.59
337.3,831.98,70.89,55.27
371.3,831.98,58.89,46.23
322.8,831.98,86.52,66.06
360.1,831.98,49.71,41.92
367.2,831.98,56.77,43.33
335.2,831.98,74.20,49.51
330.7,831.98,63.11,46.35
295.8,831.98,90.96,71.85
366.6,831.98,59.80,49.49
392.6,831.98,53.24,43.14
336.0,831.98,68.07,48.21
343.0,831.98,63.81,43.32
345.0,831.98,69.29,50.42
342.8,831.98,63.80,45.55
350.7,831.98,65.25,42.55
338.1,831.98,70.73,49.30
341.3,831.98,64.16,44.74
350.3,831.98,68.29,48.19
370.3,831.98,61.91,45.19
324.6,831.98,67.55,47.09
354.7,831.98,61.77,43.38
319.5,831.98,68.48,45.94
337.9,831.98,64.77,43.33
328.6,831.98,72.75,44.16
342.5,831.98,63.94,41.59
334.1,831.98,71.62,50.68
365.8,831.98,57.16,43.60
324.0,831.98,73.82,42.45
364.0,831.98,62.85,44.41
