CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
373.1,218.33,208.87,201.85
363.9,218.33,216.86,207.68
377.3,218.33,198.55,192.34
369.9,218.33,213.36,207.24
370.2,218.33,215.89,210.18
375.0,218.33,223.74,216.58
369.9,218.34,218.78,210.90
372.6,218.34,209.11,203.28
371.3,218.34,209.85,203.91
373.2,218.34,227.55,219.10
370.6,218.34,220.98,212.03
373.5,218.34,208.52,200.66
368.0,218.34,206.29,200.32
368.2,218.34,225.19,213.75
376.1,218.34,209.85,202.63
369.4,218.34,216.32,209.03
370.6,218.34,202.17,194.59
374.2,218.34,205.58,199.19
374.7,218.34,213.28,207.01
367.2,218.34,212.20,206.03
370.1,218.34,207.83,202.53
373.3,218.34,211.40,206.00
373.9,218.34,211.08,204.25
372.2,218.34,209.37,204.40
361.4,218.34,221.15,213.03
372.3,218.34,206.64,200.88
376.8,218.34,206.79,200.97
361.0,218.34,226.90,219.90
371.4,218.34,201.69,193.13
370.4,218.34,213.00,204.50
373.3,218.34,203.27,194.46
363.9,218.36,222.35,215.22
376.9,218.36,214.71,206.39
371.5,218.36,209.75,203.91
368.9,218.36,219.36,213.46
378.3,218.36,232.37,224.92
366.9,218.36,220.55,212.33
346.7,218.36,282.42,276.10
334.0,218.36,296.15,288.04
329.0,218.36,267.25,259.41
360.1,218.36,230.27,224.31
331.1,218.36,289.68,281.83
328.3,218.36,279.93,271.17
335.0,218.36,310.19,303.86
321.9,218.36,288.53,282.79
332.0,218.36,297.92,290.78
374.4,218.36,218.79,212.25
363.7,218.36,225.21,218.48
336.6,218.36,311.55,302.87
367.0,218.36,223.13,217.42
378.6,218.36,224.31,218.00
373.7,218.36,219.20,212.91
369.4,218.36,224.46,217.96
373.8,218.36,208.49,203.55
370.3,218.36,207.74,200.35
369.4,218.36,216.34,208.41
371.5,218.36,217.67,212.11
370.7,218.36,202.10,196.48
365.6,218.36,218.57,211.32
375.1,218.36,212.97,206.93
367.9,218.36,211.78,202.69
372.9,218.36,214.33,207.56
375.8,218.36,209.98,202.25
362.7,218.36,223.13,216.36
373.9,218.36,208.39,202.04
371.3,218.36,211.36,204.64
370.0,218.36,212.75,203.16
373.4,218.36,200.65,191.15
368.6,218.36,208.66,201.90
368.1,218.36,211.70,204.04
373.3,218.36,214.08,208.31
377.5,218.36,206.38,200.46
367.5,218.36,203.84,197.52
368.2,218.36,222.47,215.81
375.3,218.36,210.30,204.13
369.4,218.36,213.66,207.94
371.2,218.36,209.88,202.65
370.9,218.36,215.47,207.69
376.7,218.36,212.17,206.29
375.2,218.36,218.33,212.05
370.2,218.36,221.31,215.50
370.1,218.36,215.92,210.06
371.9,218.36,220.29,210.47
376.2,218.36,209.73,200.60
369.3,218.36,205.56,198.92
376.1,218.36,209.81,197.89
373.3,218.36,203.37,197.54
370.0,218.36,216.01,209.55
374.6,218.36,218.68,212.17
273.1,218.36,347.65,341.51
323.9,218.36,246.69,232.86
373.6,218.36,216.57,208.83
368.2,218.36,214.35,208.57
373.8,218.36,211.16,205.40
371.0,218.36,223.48,214.46
371.7,218.36,209.63,201.71
373.1,218.36,216.85,206.32
373.2,218.36,219.42,213.41
372.9,218.36,235.74,229.30
369.2,218.36,219.19,213.59
372.7,218.36,225.14,219.25
377.3,218.36,240.98,234.36
362.2,218.36,237.20,230.83
372.4,218.36,214.59,203.58
375.5,218.36,212.83,206.96
