CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
242.6,273.14,61.08,52.78
310.7,274.08,57.41,50.20
255.3,273.14,58.23,50.43
292.8,274.08,57.54,50.09
251.1,273.14,63.08,55.17
264.4,274.08,56.33,48.87
237.9,273.14,62.15,52.98
268.8,274.08,62.62,54.68
258.6,273.14,61.33,53.24
261.1,274.08,56.93,48.28
271.6,273.14,58.38,52.14
271.2,274.08,58.43,50.03
231.2,273.14,59.90,51.96
283.5,274.08,55.83,48.84
271.3,273.14,58.44,50.71
266.7,274.08,55.60,48.23
282.1,273.14,59.64,52.16
262.0,274.08,56.64,49.41
265.7,273.14,59.59,51.74
275.6,274.08,57.54,49.33
252.3,273.14,62.88,54.80
276.8,274.08,57.27,49.10
250.0,273.14,63.47,56.00
265.0,274.08,59.80,52.89
246.4,273.14,60.26,51.00
295.2,274.08,56.62,50.25
281.4,273.14,56.10,49.18
267.7,274.08,55.23,48.83
281.8,273.14,59.52,52.00
278.3,274.08,56.41,48.84
234.3,273.14,59.13,52.80
273.5,274.08,53.90,47.37
253.4,273.14,58.50,51.11
258.1,274.08,57.34,49.86
288.5,273.14,58.30,50.84
281.2,274.08,56.23,48.36
252.3,273.14,58.71,51.49
277.2,274.08,56.94,48.31
268.4,273.14,58.97,51.23
278.5,274.08,56.91,50.07
265.7,273.14,63.48,55.04
258.4,274.08,57.59,49.90
261.7,273.14,60.64,53.91
273.2,274.08,54.19,47.47
269.9,273.14,58.77,51.24
277.8,274.08,53.50,47.49
256.1,273.14,57.91,51.48
262.6,274.08,56.56,50.08
224.5,273.14,57.22,51.01
259.7,274.08,57.10,48.15
257.8,273.14,57.73,50.61
283.8,274.08,55.89,47.58
238.2,273.14,58.12,51.92
281.0,274.08,56.24,48.18
239.3,273.14,62.03,54.72
261.2,274.08,56.75,50.13
253.1,273.14,58.58,51.26
285.3,274.08,59.00,51.80
247.9,273.14,59.86,53.18
282.2,274.08,55.85,49.74
276.9,273.14,57.25,49.71
280.2,274.08,56.57,47.73
257.6,273.14,61.48,51.18
252.3,274.08,58.18,50.74
266.2,273.14,59.45,52.76
254.9,274.08,54.39,48.48
268.5,273.14,55.29,49.08
267.4,274.08,55.46,49.13
265.1,273.14,55.86,49.52
306.0,274.08,55.01,47.26
234.9,273.14,58.92,52.17
279.2,274.08,56.61,49.19
252.2,273.14,58.80,52.14
297.4,274.08,53.29,46.83
202.5,273.14,68.66,60.75
242.0,274.08,65.54,55.86
289.0,273.14,54.83,47.11
261.5,274.08,59.83,52.15
275.4,273.14,57.29,50.00
274.0,274.08,54.06,48.07
255.2,273.14,58.02,51.44
307.4,274.08,54.62,48.47
261.6,273.14,56.67,49.42
296.5,274.08,56.52,48.52
263.4,273.14,60.07,52.55
280.6,274.08,56.32,50.02
239.6,273.14,61.96,53.24
293.9,274.08,56.88,51.19
242.0,273.14,61.45,53.01
257.8,274.08,57.53,50.49
274.0,273.14,57.71,49.37
235.2,274.08,59.04,51.43
249.7,273.14,63.38,55.54
255.1,274.08,58.11,49.47
270.0,273.14,58.61,49.65
280.7,274.08,56.46,49.18
255.8,273.14,61.94,54.10
274.2,274.08,57.65,50.20
268.1,273.14,59.02,51.30
274.7,274.08,53.93,47.89
256.5,273.14,57.83,50.44
268.3,274.08,58.90,51.34
217.1,273.14,59.23,51.55
295.1,274.08,56.90,49.53
230.7,273.14,60.01,52.29
263.9,274.08,59.97,51.57
281.6,273.14,59.62,51.39
267.7,274.08,59.25,51.15
271.6,273.14,61.87,52.79
277.7,274.08,60.66,51.61
243.5,273.14,60.99,51.64
278.8,274.08,56.90,48.55
271.6,273.14,58.42,51.37
255.5,274.08,54.30,46.44
272.9,273.14,58.15,50.27
301.5,274.08,56.01,48.43
215.5,273.14,59.81,51.08
271.5,274.08,58.48,49.95
273.3,273.14,58.06,52.20
262.2,274.08,56.50,48.34
230.4,273.14,60.25,52.30
307.4,274.08,54.78,48.45
235.7,273.14,58.79,49.98
288.0,274.08,58.03,50.72
265.1,273.14,59.79,52.18
293.4,274.08,57.36,50.79
275.4,273.14,61.28,51.71
249.7,274.08,55.56,48.64
264.2,273.14,60.05,52.02
272.3,274.08,54.58,47.26
241.5,273.14,61.62,54.20
283.3,274.08,59.49,50.61
273.7,273.14,57.80,50.76
277.9,274.08,60.61,51.02
249.6,273.14,59.75,52.80
256.9,274.08,57.74,49.78
253.7,273.14,58.62,51.13
267.3,274.08,59.31,51.78
264.8,273.14,59.84,52.60
255.7,274.08,58.13,49.43
264.5,273.14,59.87,51.39
