CPU_Percent,RAM_MB,Total_Latency_ms,Inference_Latency_ms
52.4,206.61,37.62,13.72
77.3,203.94,38.29,13.92
53.4,206.61,36.87,13.21
78.2,203.94,37.84,13.46
51.7,206.61,38.15,13.88
51.7,203.94,38.16,13.27
53.4,206.61,36.71,13.35
51.6,203.94,37.97,13.85
78.9,206.61,37.50,13.39
78.4,203.94,37.66,13.30
52.3,206.61,37.69,13.56
51.8,203.94,38.07,13.72
79.1,206.61,37.38,13.26
51.4,203.94,38.39,13.72
26.2,206.61,37.67,14.07
104.9,203.94,37.61,13.36
26.5,206.61,37.10,13.38
51.3,203.94,38.42,13.78
78.4,206.61,37.70,13.63
51.4,203.94,38.38,13.35
80.7,206.61,36.63,13.45
51.4,203.95,38.25,13.78
53.1,206.62,37.15,13.16
52.5,203.97,37.53,13.24
76.8,206.64,38.48,14.07
51.9,203.97,37.97,13.59
53.1,206.64,37.12,13.38
74.2,203.97,39.92,14.57
52.3,206.64,37.70,13.17
51.3,203.97,38.44,13.31
75.4,206.64,39.27,14.14
73.5,203.98,40.30,13.26
55.0,206.66,35.83,13.29
50.1,203.98,39.34,13.99
80.0,206.66,36.88,13.30
50.9,203.98,38.71,13.58
52.5,206.66,37.61,13.72
53.5,203.98,36.88,13.70
80.2,206.66,36.78,13.50
52.9,203.98,37.26,13.39
51.1,206.66,38.57,14.60
80.1,203.98,36.92,13.30
53.8,206.66,36.60,13.38
52.1,203.98,37.86,13.69
52.6,206.66,37.47,13.77
78.8,203.98,37.52,13.28
53.0,206.66,37.16,13.29
76.4,203.98,38.73,14.10
52.6,206.66,37.38,13.34
51.0,203.98,38.63,13.52
51.9,206.66,37.98,13.87
52.5,203.98,37.56,13.71
78.7,206.66,37.54,13.31
78.4,203.98,37.75,13.65
50.8,206.66,38.85,14.27
51.9,203.98,37.99,13.30
77.9,206.66,37.99,13.82
51.3,203.98,38.45,13.90
25.9,206.66,37.98,13.23
76.9,203.98,38.49,13.56
51.1,206.66,38.58,13.95
52.4,203.98,37.49,13.48
101.2,206.66,39.00,13.46
51.0,203.98,38.64,13.71
51.8,206.66,38.09,13.49
75.8,203.98,39.03,13.52
51.5,206.66,38.28,13.54
51.1,203.98,38.62,13.31
51.4,206.66,38.38,13.68
50.6,203.98,39.03,13.65
78.5,206.66,37.64,13.35
50.4,203.98,39.14,13.78
52.2,206.66,37.80,13.62
76.8,203.98,38.52,13.42
51.9,206.66,37.90,13.72
77.6,203.98,38.09,13.75
51.5,206.66,38.32,13.34
51.9,203.98,38.06,14.43
53.6,206.66,36.93,14.08
79.3,203.98,37.27,13.35
53.2,206.66,37.04,13.99
53.0,203.98,37.18,13.64
53.4,206.66,36.95,13.96
80.4,203.98,36.63,13.29
55.9,206.66,35.23,13.43
78.6,203.98,37.62,13.42
54.1,206.66,36.40,13.68
41.1,203.98,72.42,43.95
45.3,206.66,43.73,33.52
73.4,203.98,53.60,39.33
55.1,206.66,35.70,26.00
67.2,203.98,44.12,32.13
79.8,206.66,36.83,23.08
81.8,203.98,35.94,22.88
140.5,206.66,20.36,13.84
94.4,203.98,20.23,13.80
59.2,206.66,33.20,13.75
82.3,203.98,35.64,13.37
56.1,206.66,34.97,13.40
79.7,203.98,37.09,14.38
55.6,206.66,35.37,13.83
54.0,203.98,36.51,13.79
80.8,206.66,36.70,13.44
57.1,203.98,34.45,13.35
55.0,206.66,35.83,13.44
81.5,203.98,36.29,13.82
82.6,206.66,35.82,13.79
54.6,203.98,36.10,13.34
55.4,206.66,35.52,13.27
54.8,203.98,35.93,13.52
82.6,206.66,35.81,13.49
53.6,203.98,36.79,13.95
52.9,206.66,37.26,13.55
54.3,203.98,36.29,13.40
83.4,206.66,35.50,13.39
53.5,203.98,36.89,13.84
53.2,206.66,37.09,13.85
53.3,203.98,36.96,13.33
81.4,206.66,36.34,13.50
52.0,203.98,37.95,13.77
78.1,206.66,37.92,13.64
